text,hs_code,hs_chapter,hs_chapter_name,hs_desc,language
Electric motors and generators; parts suitable for use solely or principally with the machines of heading no. 8501 or 8502,850300,HS 85,HS 85,Electric motors and generators; parts suitable for use solely or principally with the machines of heading no. 8501 or 8502,en
"Blouses, shirts and shirt-blouses; women's or girls', of textile materials n.e.c. in heading no. 6206 (not knitted or crocheted), for bulk procurement program, shipping term CIF.",620690,HS 62,HS 62,"Blouses, shirts and shirt-blouses; women's or girls', of textile materials n.e.c. in heading no. 6206 (not knitted or crocheted)",en
"Refurbished portable computer, 14 inch",847130,HS 84,Electronics,Portable digital computers <10kg,en
Cadmium; other than waste and scrap,811269,HS 81,HS 81,Cadmium; other than waste and scrap,en
"Tin; articles n.e.c. in chapter 80, for regional retail supply chain, for 20ft container loading.",800700,HS 80,HS 80,Tin; articles n.e.c. in chapter 80,en
"Vegetables, brassica; cauliflowers and broccoli, fresh or chilled, for international wholesale distribution, shipping term FOB.",070410,HS 07,HS 07,"Vegetables, brassica; cauliflowers and broccoli, fresh or chilled",en
"Hairpins, curling pins, curling grips, hair curlers and the like (not those of heading no. 8516) and parts thereof",961590,HS 96,HS 96,"Hairpins, curling pins, curling grips, hair curlers and the like (not those of heading no. 8516) and parts thereof",en
"Aluminium ores and concentrates, for cross-border shipment, for scheduled maritime transport.",260600,HS 26,HS 26,Aluminium ores and concentrates,en
"Steel, stainless; flat-rolled, width 600mm or more, n.e.c. in heading no. 7219, for bonded warehouse delivery, for 20ft container loading.",721990,HS 72,HS 72,"Steel, stainless; flat-rolled, width 600mm or more, n.e.c. in heading no. 7219",en
"Regulating or controlling instruments and apparatus; automatic type, thermostats",903210,HS 90,HS 90,"Regulating or controlling instruments and apparatus; automatic type, thermostats",en
"Electric generators; (excluding generating sets), photovoltaic AC generators (alternators)",850180,HS 85,HS 85,"Electric generators; (excluding generating sets), photovoltaic AC generators (alternators)",en
Processing units for digital machines for industrial/commercial use,847150,HS 84,Electronics,Processing units for digital machines,en
"Rubber; unvulcanised, camel-back strips for retreading rubber tyres",400610,HS 40,HS 40,"Rubber; unvulcanised, camel-back strips for retreading rubber tyres",en
"Machine-tools; machines for working wire, without removing material, for international wholesale distribution, packed in cartons.",846330,HS 84,HS 84,"Machine-tools; machines for working wire, without removing material",en
"Imported refined copper cathodes, customs declaration",740311,HS 74,Metals,Refined copper cathodes,en
"Fish; frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, for industrial procurement contract, shipping term FOB.",030331,HS 03,HS 03,"Fish; frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",en
"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of wool or fine animal hair, knitted or crocheted",610341,HS 61,HS 61,"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of wool or fine animal hair, knitted or crocheted",en
"Plastics; plates, sheets, film, foil and strip (not self-adhesive), of polymers of ethylene, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",392010,HS 39,Plastics,Plates and sheets of ethylene polymers,en
"Juices; mixtures of fruits or vegetables (but not nut juice), unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",200990,HS 20,Food Preparations,Mixtures of fruit juices,en
"Wood; windows, French-windows and their frames; of tropical wood",441811,HS 44,HS 44,"Wood; windows, French-windows and their frames; of tropical wood",en
"Arms; swords, cutlasses, bayonets, lances and the like, parts thereof and scabbards and sheaths therefor, for export under standard commercial terms, with standard commercial invoice and packing list.",930700,HS 93,HS 93,"Arms; swords, cutlasses, bayonets, lances and the like, parts thereof and scabbards and sheaths therefor",en
"Machines for additive manufacturing; by plaster, cement, ceramics or glass deposit, for export under standard commercial terms, shipping term CIF.",848530,HS 84,HS 84,"Machines for additive manufacturing; by plaster, cement, ceramics or glass deposit",en
"Textile machinery; involved in textile fibre or textile yarn preparation and n.e.c. in heading no. 8445, for regional retail supply chain, for mixed-lot cargo.",844590,HS 84,HS 84,Textile machinery; involved in textile fibre or textile yarn preparation and n.e.c. in heading no. 8445,en
เนื้อโคสดแช่เย็น ปลอดกระดูก คุณภาพดี,020130,HS 02,Meat,Fresh or chilled boneless bovine meat,th
"Bedroom armoire, solid wood, walnut, for cross-border shipment, for 20ft container loading.",940350,HS 94,Furniture,Wooden bedroom furniture,en
"Electronic integrated circuits, memories, meeting international standards",854232,HS 85,Electronics,"Electronic integrated circuits, memories",en
Machinery; for cleaning or drying bottles or other containers,842220,HS 84,HS 84,Machinery; for cleaning or drying bottles or other containers,en
"Nuts, edible; cashew nuts, fresh or dried, in shell",080131,HS 08,HS 08,"Nuts, edible; cashew nuts, fresh or dried, in shell",en
"Other electronic integrated circuits, packed for international trade, for bulk procurement program, packed in cartons.",854239,HS 85,Electronics,Other electronic integrated circuits,en
"Other digital processing units, quantity: various, for wholesale, for bulk procurement program, for mixed-lot cargo.",847141,HS 84,Electronics,Other digital processing units,en
"Blood, human or animal, antisera, other blood fractions and immunological products; immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",300213,HS 30,HS 30,"Blood, human or animal, antisera, other blood fractions and immunological products; immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",en
"Plastics; plates, sheets, film, foil and strip (not self-adhesive), of polyamides, non-cellular and not reinforced, laminated, supported or similarly combined with other materials, for customs clearance and import declaration, with standard commercial invoice and packing list.",392092,HS 39,HS 39,"Plastics; plates, sheets, film, foil and strip (not self-adhesive), of polyamides, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",en
"Clothing accessories; other than those of heading no. 6212 (not knitted or crocheted), for regional retail supply chain, for scheduled maritime transport.",621710,HS 62,HS 62,Clothing accessories; other than those of heading no. 6212 (not knitted or crocheted),en
"Oil seeds; cotton seeds, seed, whether or not broken, for regional retail supply chain, with standard commercial invoice and packing list.",120721,HS 12,HS 12,"Oil seeds; cotton seeds, seed, whether or not broken",en
Chlorides; of nickel,282735,HS 28,HS 28,Chlorides; of nickel,en
"Ethylene polymers; sacks and bags (including cones), for the conveyance or packing of goods",392321,HS 39,Plastics,Sacks and bags of ethylene polymers,en
"Footwear with uppers of leather - standard quality, bulk shipment",640510,HS 64,Footwear,Footwear with uppers of leather,en
"Signalling, safety or traffic control equipment; for roads, inland waterways, parking facilities, port installations or airfields (excluding those of heading no. 8608), for international wholesale distribution, for mixed-lot cargo.",853080,HS 85,HS 85,"Signalling, safety or traffic control equipment; for roads, inland waterways, parking facilities, port installations or airfields (excluding those of heading no. 8608)",en
"Other filtering or purifying machinery, commercial grade, for import, for cross-border shipment, packed in cartons.",842139,HS 84,Machinery,Other filtering or purifying machinery,en
"Mollusc preparations; octopus, prepared or preserved, for bonded warehouse delivery, for 20ft container loading.",160555,HS 16,HS 16,"Mollusc preparations; octopus, prepared or preserved",en
"Flowers, cut; flowers and flower buds of a kind suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",060390,HS 06,HS 06,"Flowers, cut; flowers and flower buds of a kind suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",en
"Carbonates; strontium carbonate, for export under standard commercial terms, shipping term FOB.",283692,HS 28,HS 28,Carbonates; strontium carbonate,en
Machine-tools; for working any material by removal of material; operated by laser,845611,HS 84,HS 84,Machine-tools; for working any material by removal of material; operated by laser,en
Heat pumps; other than air conditioning machines of heading no. 8415,841861,HS 84,HS 84,Heat pumps; other than air conditioning machines of heading no. 8415,en
"Silicon, containing ≥99.99% Si, commercial grade, for import, for regional retail supply chain, with standard commercial invoice and packing list.",280461,HS 28,Chemicals,"Silicon, containing ≥99.99% Si",en
Chlorides; of ammonium,282710,HS 28,HS 28,Chlorides; of ammonium,en
"Rubber; new pneumatic tyres, of a kind used on light commercial vehicles",401190,HS 40,HS 40,"Rubber; new pneumatic tyres, of a kind used on light commercial vehicles",en
"Aeroplanes and other aircraft, except unmanned; of an unladen weight exceeding 2000kg but not exceeding 15,000kg, for regional retail supply chain, shipping term CIF.",880230,HS 88,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Rechargeable lithium-ion batteries, 3.7V",850760,HS 85,Electronics,Lithium-ion accumulators,en
"Resistors; electric heating, other than those of heading no. 8545, for industrial procurement contract, for mixed-lot cargo.",851680,HS 85,HS 85,"Resistors; electric heating, other than those of heading no. 8545",en
"Sculptures and statuary; original, in any material, of an age not exceeding 100 years",970390,HS 97,HS 97,"Sculptures and statuary; original, in any material, of an age not exceeding 100 years",en
"Clays (excluding expanded clays of heading no. 6806); n.e.c. in heading no. 2508, whether or not calcined",250840,HS 25,HS 25,"Clays (excluding expanded clays of heading no. 6806); n.e.c. in heading no. 2508, whether or not calcined",en
"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more, for customs clearance and import declaration, with standard commercial invoice and packing list.",854129,HS 85,HS 85,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",en
"Insects; live, bees",010641,HS 01,HS 01,"Insects; live, bees",en
"Yarn, synthetic; filament, monofilament (less than 67 decitex), of high tenacity yarn of polyesters, whether or not textured, not for retail sale, not sewing thread, for industrial procurement contract, packed in cartons.",540220,HS 54,HS 54,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of high tenacity yarn of polyesters, whether or not textured, not for retail sale, not sewing thread",en
"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight",252800,HS 25,HS 25,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight",en
"Jute and other textile bast fibres; processed but not spun, tow and waste of these fibres, including yarn waste and garnetted stock (excluding flax, hemp (cannabis sativa L.), and ramie)",530390,HS 53,HS 53,"Jute and other textile bast fibres; processed but not spun, tow and waste of these fibres, including yarn waste and garnetted stock (excluding flax, hemp (cannabis sativa L.), and ramie)",en
"Toilet and kitchen linen; of cotton, excluding terry towelling or similar terry fabrics",630291,HS 63,HS 63,"Toilet and kitchen linen; of cotton, excluding terry towelling or similar terry fabrics",en
"Vegetable materials and vegetable waste, vegetable residues and by-products; whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included",230800,HS 23,HS 23,"Vegetable materials and vegetable waste, vegetable residues and by-products; whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included",en
